**** BEGIN LOGGING AT Tue Mar 13 07:36:23 2012
Mar 13 07:36:23 *	Now talking on #PRISM
Mar 13 08:22:47 *	[GeraldMalkin] End of WHOIS list.
Mar 13 08:22:54 <Paul_Axe> /whois baatyr
Mar 13 08:22:54 *	[baatyr] (richard@unknown): @baatyrthegreat
Mar 13 08:22:54 *	[baatyr] #PRISM @#baatyrthegreat
Mar 13 08:22:54 *	[baatyr] irc.prism.co.nz :I'm too lazy to edit ircd.conf
Mar 13 08:22:54 *	[baatyr] idle 00:01:49, signon: Tue Mar 13 07:12:30
Mar 13 08:22:54 *	[baatyr] End of WHOIS list.
Mar 13 08:23:02 <Paul_Axe> /whois TalGi
Mar 13 08:23:02 *	[TalGi] (TalGi@unknown): Tal Gi Choi
Mar 13 08:23:02 *	[TalGi] #PRISM
Mar 13 08:23:02 *	[TalGi] irc.prism.co.nz :I'm too lazy to edit ircd.conf
Mar 13 08:23:02 *	[TalGi] idle 00:10:54, signon: Tue Mar 13 07:26:43
Mar 13 08:23:02 *	[TalGi] End of WHOIS list.
Mar 13 08:24:27 <ap0linand0r>	baatyr: i have some tricks that will be successfull, so shut the fuck up... you start to piss me off
Mar 13 08:24:48 <TalGi>	relax guys
Mar 13 08:26:10 <baatyr>	okok. i'm here just while you're paying me.
Mar 13 08:26:24 <TalGi>	paul, my name is tal gi and i invent physical methods of vr injections
Mar 13 08:26:45 <Paul_Axe>	nice to meet u Tal Gi
Mar 13 08:26:52 <TalGi>	)
Mar 13 08:30:10 *	TalGi (TalGi@unknown) has left #PRISM (Leaving)
Mar 13 08:31:27 *	baatyr (richard@unknown) has left #PRISM (Leaving)
Mar 13 08:31:27 *	You have left channel #PRISM (Leaving)
**** ENDING LOGGING AT Tue Mar 13 08:31:27 2012
